		Data				
ID	Gem	528023.88	-1398939.12	12006	43.98	-116.52
ID	Gooding	505294.11	-1352307.57	11784	42.8796766802444	-114.757940427699
ID	Idaho	421732.7	-1067335.46	9188	45.90038093165	-116.166245102307
ID	Jefferson	790000.75	-2023297.09	18076	43.7044008630228	-111.932788780704
ID	Jerome	745620.4	-1995140.86	17451	42.7265142398716	-114.328168013294
ID	Kootenai	5419924.41	-13263579.62	113510	47.7484310633424	-116.8494372302
ID	Latah	1214223.25	-3036851.24	25987	46.7242563589487	-116.860400969716
ID	Lemhi	222210	-562240.68	4938	45	-113.86
ID	Lewis	186068.56	-466987.87	4023	46.2511956251554	-116.079510315685
ID	Lincoln	160986.5	-427358.95	3738	43.0675494917068	-114.328237025147
ID	Madison	926692.92	-2365155.64	21164	43.7862842562843	-111.753715743716
ID	Minidoka	693829.64	-1848937.46	16260	42.6709495694957	-113.710790897909
ID	Nez Perce	1411750.2	-3573017.01	30567	46.185435273334	-116.891321032486
ID	Oneida	138293.76	-367670.2	3274	42.24	-112.3
ID	Owyhee	316330.43	-850913.45	7290	43.3923772290809	-116.723381344307
ID	Payette	736310.08	-1954412.62	16734	44.000841400741	-116.792913828134
ID	Power	213300.96	-564159.07	4993	42.72	-112.99
ID	Shoshone	447255.17	-1092152.11	9409	47.5348251673929	-116.075258794771
ID	Teton	321202.56	-817132.25	7348	43.7129232444203	-111.204715568862
ID	Twin Falls	2542602.73	-6863121.26	59894	42.4517101879988	-114.587792767222
ID	Valley	365343.32	-944321.09	8158	44.783442020103	-115.753994851679
ID	Washington	332753.42	-874279.86	7481	44.4798048389253	-116.866710332843
IL	Adams	2192685.13	-5013681.26	54896	39.9425300568348	-91.3305388370737
IL	Alexander	204813.14	-492429.74	5515	37.1374687216682	-89.2891640979148
IL	Bond	487894.19	-1122795.36	12553	38.866740221461	-89.4443846092567
IL	Boone	1876306.85	-3941490.94	44370	42.2877360829389	-88.8323403200361
IL	Brown	154164.34	-350065.73	3858	39.9596526697771	-90.7376179367548
IL	Bureau	1202525	-2599480.04	29069	41.3679521139358	-89.4244741821184
IL	Calhoun	135261.52	-313602.11	3461	39.0816295868246	-90.6102600404507
IL	Carroll	601377.07	-1286066.15	14297	42.0631649996503	-89.9535671819263
IL	Cass	473566.26	-1069896.52	11849	39.9667701915773	-90.2942459279264
IL	Champaign	5589913.6	-12290268.25	139300	40.1285972720747	-88.2287742282843
IL	Christian	1035283.37	-2338401.06	26207	39.5040779181135	-89.2281092837791
IL	Clark	570335.47	-1272582.56	14493	39.3524784378666	-87.8067039260333
IL	Clay	438250.95	-1002034.3	11323	38.7044908593129	-88.495478230151
IL	Clinton	1053251.92	-2444153.11	27297	38.5848965087739	-89.5392574275561
IL	Coles	1445496.96	-3231080.33	36609	39.48474309596	-88.2591802562211
IL	Cook	171673629.74	-360022861.33	4102245	41.8487022935002	-87.7623987182628
IL	Crawford	611187.7	-1375176.9	15673	38.9962164231481	-87.7417788553563
IL	Cumberland	363064.21	-816510.38	9246	39.2671652606532	-88.3095803590742
IL	De Witt	540840.25	-1196862.38	13463	40.1723427170764	-88.9001247864518
IL	Dekalb	3440919.62	-7287615.37	82149	41.8863238749102	-88.7121616818221
IL	Douglas	764933.41	-1698643.04	19239	39.759520245335	-88.2916492541192
IL	Dupage	36398417.52	-76600226.01	869726	41.850442001274	-88.0739750335163
IL	Edgar	549265.25	-1215519.12	13858	39.6352467888584	-87.7124491268581
IL	Edwards	232684.2	-533759.46	6064	38.3714050131926	-88.0210191292876
IL	Effingham	1207947.49	-2736595.9	30897	39.0959475029938	-88.5715732919054
IL	Fayette	671316.81	-1533442.8	17223	38.9779254485281	-89.0345932764327
IL	Ford	435715.47	-948580.22	10755	40.5128284518828	-88.1989976754998
IL	Franklin	1158132.07	-2714066.91	30512	37.9566095306764	-88.9508032905087
IL	Fulton	1091781.53	-2428519.3	26948	40.5143806590471	-90.1187212409084
IL	Gallatin	158620.7	-370718.06	4201	37.757843370626	-88.2451940014282
IL	Greene	424621.27	-974891.31	10788	39.3605181683352	-90.3681229143493
IL	Grundy	1844701.65	-3941378.99	44618	41.3443374871128	-88.3360749025057
IL	Hamilton	247421.13	-575230.56	6495	38.0940923787529	-88.5651362586605
IL	Hancock	590626.66	-1332210.13	14605	40.440031496063	-91.216030811366
IL	Hardin	102792.88	-242289.21	2744	37.4609620991254	-88.2978170553936
IL	Henderson	216369.76	-482027.3	5300	40.8244830188679	-90.9485471698113
IL	Henry	1742435.9	-3799084.36	42150	41.3389300118624	-90.1324877817319
IL	Iroquois	919461.56	-1981928.14	22564	40.7490498138628	-87.8358509129587
IL	Jackson	1370457.98	-3240867.95	36300	37.7536633608815	-89.280108815427
IL	Jasper	307991.98	-696125.18	7894	39.0159589561692	-88.1840866480872
IL	Jefferson	1147170.39	-2662516.83	29949	38.3041300210358	-88.9016938795953
IL	Jersey	826759.57	-1910528.69	21162	39.0681206880257	-90.2811024477838
IL	Jo Daviess	834704.26	-1777363.86	19679	42.4159896336196	-90.3177935870725
IL	Johnson	330562.7	-784156.1	8822	37.4702675130356	-88.8864316481523
IL	Kane	15475266.13	-32604700.51	369191	41.9166938793199	-88.3139093585705
IL	Kankakee	3723898.01	-7952206.81	90520	41.1389528281043	-87.8502740830756
IL	Kendall	3598944.01	-7632628.05	86351	41.6780814350731	-88.390731433336
IL	Knox	1655720.97	-3653249.24	40447	40.9355692634806	-90.3218839468935
IL	La Salle	3794230.06	-8160992.39	91798	41.3323826227151	-88.9016360922896
IL	Lake	24704136.27	-51368704.95	583986	42.3026173058943	-87.9622198991072
IL	Lawrence	455133.87	-1031540.1	11759	38.7051509482099	-87.7234543753721
IL	Lee	1241721.05	-2654596.7	29702	41.8059743451619	-89.3743417951653
IL	Livingston	1108057.63	-2399950.76	27103	40.8832096077925	-88.5492661329004
IL	Logan	836488.71	-1861959.09	20838	40.1424661675785	-89.3540210192917
IL	Macon	3509240.91	-7830924.44	88056	39.8523770100845	-88.9311851549014
IL	Macoupin	1384324.6	-3173232.77	35318	39.1960077014553	-89.847465031995
IL	Madison	8735854.35	-20271483.4	225198	38.7918824767538	-90.0162674624109
IL	Marion	1388889.11	-3205306.14	36002	38.5781098272318	-89.0313354813621
IL	Marshall	407788.12	-887167.12	9935	41.0456084549572	-89.29714343231
IL	Mason	552975.9	-1233190.37	13722	40.2984914735461	-89.8695795073604
IL	Massac	430577.49	-1028130.39	11592	37.144365942029	-88.6930978260869
IL	McDonough	827412.36	-1854108.15	20446	40.4681776386579	-90.6831727477257
IL	McHenry	12453940	-26034326.91	294687	42.261586021779	-88.345691903613
IL	McLean	5358102.51	-11772722.56	132344	40.4861762527957	-88.9554687783352
IL	Menard	453103.63	-1017245.44	11327	40.0020861657985	-89.8071369294606
IL	Mercer	559072.15	-1230109.97	13564	41.2173510763786	-90.6893224712474
IL	Monroe	1099301.23	-2583770.29	28649	38.3713647945827	-90.1871021676149
IL	Montgomery	872333.82	-1991496.3	22249	39.2077765292822	-89.5094745831273
IL	Morgan	1034781.02	-2351332.51	26061	39.7061133494494	-90.2241859483519
IL	Moultrie	461933.75	-1033476.26	11660	39.6169596912521	-88.6343276157804
IL	Ogle	1879806.97	-3992059.28	44733	42.0228236425011	-89.2419305658015
IL	Peoria	6261541.38	-13768802.57	153631	40.7570176591964	-89.6225538465544
IL	Perry	672986.13	-1579893.1	17684	38.0562163537661	-89.3402567292468
IL	Piatt	550027.66	-1217681.95	13747	40.0107412526369	-88.5780133847385
IL	Pike	452147.09	-1037093.03	11413	39.6168483308508	-90.8694497502848
IL	Pope	76550.64	-181295.52	2049	37.36	-88.48
IL	Pulaski	172205.36	-412600.18	4630	37.1933822894169	-89.1145097192225
IL	Putnam	203018.91	-439593.05	4925	41.2221137055838	-89.2574720812183
IL	Randolph	940152.63	-2217721.06	24688	38.0813605800389	-89.8299197990927
IL	Richland	502805.27	-1143701.26	12983	38.7279727335747	-88.0922175152122
IL	Rock Island	5112501.91	-11152394.26	123240	41.4841115709185	-90.493299740344
IL	Saline	741911.35	-1740184.01	19655	37.7466980412109	-88.5364543373187
IL	Sangamon	6642155.52	-14974234.25	167042	39.7633859747848	-89.6435282743262
IL	Schuyler	198709.69	-448543.99	4954	40.1109588211546	-90.5417823980622
IL	Scott	149856.84	-341892.31	3779	39.6551574490606	-90.4716353532681
IL	Shelby	661995.08	-1491888.46	16798	39.4091606143588	-88.8134575544708
IL	St Clair	8075745.59	-18856357.35	209523	38.5434801429915	-89.9965987027677
IL	St. Clair	37045.47	-86448.53	959	38.6292700729927	-90.1444525547445
IL	Stark	145567.73	-318298.15	3544	41.0744159142212	-89.8132477426637
IL	Stephenson	1700703.35	-3601805.51	40185	42.3218452158766	-89.630596242379
IL	Tazewell	4744845.51	-10462312.71	116865	40.6010825311257	-89.5247739699654
IL	Union	503507.68	-1199369.32	13440	37.463369047619	-89.2387886904762
IL	Vermilion	2471918.57	-5396619.4	61571	40.1474487989476	-87.6487209887772
IL	Wabash	358000.63	-817788.36	9318	38.4203294698433	-87.7643657437218
IL	Warren	632222.72	-1401397.52	15465	40.8808742321371	-90.6173630779179
IL	Washington	468869.06	-1092277.2	12223	38.3595729362677	-89.3624478442281
IL	Wayne	432155.99	-995097.79	11256	38.3933893034826	-88.40598702914
IL	White	399991.46	-926883.53	10508	38.0654225352113	-88.2074162542824
IL	Whiteside	2127898.54	-4575283.39	50939	41.7734651249534	-89.8188694320658
IL	Will	23028505.45	-48787685.23	553996	41.5679994981913	-88.0650496212969
IL	Williamson	1995496.74	-4704107.18	52858	37.7520288319649	-88.9951791592569
IL	Winnebago	10244591.26	-21564141.29	242139	42.3087204456944	-89.0568693601609
IL	Woodford	1259250.42	-2756551.37	30888	40.7682731157731	-89.2434398471898
IN	Adams	1094891.22	-2281509.79	26863	40.7583374902282	-84.9313103525295
IN	Allen	11602675.56	-24042075.95	282473	41.0753436965657	-85.1128283057142
IN	Bartholomew	2560468.48	-5608649.64	65296	39.2132516540064	-85.8957614555256
IN	Benton	314368.3	-676384.8	7751	40.5584182686105	-87.2641981679783
IN	Blackford	570241.47	-1202702.88	14097	40.4512640987444	-85.3162289848904
IN	Boone	1956695.53	-4226000.51	48918	39.9994997751339	-86.389478515066
IN	Brown	262757.6	-577999.69	6703	39.2	-86.23
IN	Carroll	566304.76	-1209009.91	13963	40.5575277519158	-86.58668695839
IN	Cass	1313796.47	-2784240.4	32250	40.7378750387597	-86.3330356589147
IN	Clark	3629408.4	-8109422.44	94590	38.3698953377736	-85.7323442224337
IN	Clay	861527.58	-1901242.89	21824	39.4761537756598	-87.1170679068915
IN	Clinton	1173238.52	-2519076.57	29117	40.293935501597	-86.5156633581757
IN	Crawford	338214.5	-762453.91	8825	38.3245892351275	-86.3970436260623
IN	Daviess	891913.34	-2008083.63	23051	38.6930432519196	-87.1148162769511
IN	De Kalb	1514105.88	-3111917.15	36599	41.3701434465423	-85.0273818956802
IN	Dearborn	1720946.77	-3735703.98	44000	39.1124265909091	-84.9023631818182
IN	Decatur	893853.06	-1943557.24	22731	39.3230856539528	-85.5024961506313
IN	Delaware	3347639.01	-7111442.76	83279	40.1978771358926	-85.3929893490556
IN	Dubois	1431698.61	-3245166.44	37341	38.3411962721941	-86.9062542513591
IN	Elkhart	6714037.87	-13854335.86	161295	41.6258276449983	-85.8943913946496
IN	Fayette	768632.07	-1650645.8	19386	39.6488223460229	-85.1462808212112
IN	Floyd	2353087.62	-5274394.84	61431	38.3045631684329	-85.8588471618564
IN	Fountain	676505.22	-1470693.39	16850	40.1486777448071	-87.2815068249258
IN	Franklin	565494.52	-1220016.3	14344	39.4237674288901	-85.0541201896263
IN	Fulton	680924.92	-1429619.04	16588	41.0492476489028	-86.1839305522064
IN	Gibson	1077170.63	-2461390.25	28117	38.310297329018	-87.5409983284134
IN	Grant	2233045.54	-4720462.62	55112	40.5183179706779	-85.6521741181594
IN	Greene	1021993.02	-2276996.52	26166	39.0580531988076	-87.0211923870672
IN	Hamilton	9189915.24	-19772976.7	229772	39.9958012290444	-86.0547703810734
IN	Hancock	2513864.12	-5418543.34	63141	39.8134986775629	-85.8165588128158
IN	Harrison	1242988.14	-2799077.87	32513	38.2304967243872	-86.0910365084735
IN	Hendricks	4467184.7	-9708361.06	112329	39.7687569550161	-86.4279131835946
IN	Henry	1555475.93	-3327957.3	38965	39.9198236879251	-85.4088874631079
IN	Howard	2843403.96	-6051709.03	70266	40.4662846896081	-86.1257084507443
IN	Huntington	1362317.85	-2849084.12	33332	40.8711703468139	-85.4759426377055
IN	Jackson	1525152.1	-3367287.28	39185	38.9218348857981	-85.9330682659181
IN	Jasper	1240018.63	-2632116.92	30196	41.0656586965161	-87.1677347993112
IN	Jay	592274.24	-1245238.12	14648	40.4337957400328	-85.0107946477335
IN	Jefferson	965359.75	-2127869.55	24911	38.7523483601622	-85.4188731885512
IN	Jennings	842036.46	-1848877.37	21591	38.9994192024455	-85.6318544764022
IN	Johnson	4898335.52	-10662597.67	123855	39.5489525655	-86.0893598966534
IN	Knox	1109361.77	-2507071.97	28667	38.6982164160882	-87.4549820350926
IN	Kosciusko	2642298.32	-5496762.89	64043	41.2581909029871	-85.8292536264697
IN	La Porte	3660926.71	-7632726.58	87948	41.6260370900987	-86.7868124346205
IN	Lagrange	1131551.12	-2323477.35	27189	41.6179749163265	-85.45652101953
IN	Lake	16471599.23	-34671785.11	396699	41.5216555373218	-87.4007373600639
IN	Lawrence	1505999.02	-3353794.12	38772	38.8424383575776	-86.5004157639534
IN	Madison	4232019.33	-9042009.2	105501	40.1135470753832	-85.7054359674316
IN	Marion	29404542.86	-63695049.8	739422	39.7669299263479	-86.1416752544555
IN	Marshall	1589723.72	-3317453.93	38459	41.3355448659612	-86.2594953066902
IN	Martin	381797.49	-857788.26	9874	38.6669526027952	-86.8734312335426
IN	Miami	1076419.26	-2272886.97	26410	40.7580181749337	-86.0616043165468
IN	Monroe	3396811.44	-7504206.19	86728	39.1662604925745	-86.5257608846047
IN	Montgomery	1294957.53	-2810456.52	32344	40.0370247959436	-86.8926700469948
IN	Morgan	2288242.57	-5006180.59	57945	39.4899054275606	-86.3953851065666
IN	Newton	362276.25	-773782.65	8852	40.9259206958879	-87.4133133755084
IN	Noble	1579814.04	-3256438.5	38141	41.4203623397394	-85.3789491623188
IN	Ohio	175275	-381825	4500	38.95	-84.85
IN	Orange	647503.94	-1452099.43	16789	38.5671534933587	-86.491120972065
IN	Owen	726996.85	-1604744.03	18491	39.3162538532259	-86.7851403385431
IN	Parke	462502.69	-1015466.34	11638	39.7407363808214	-87.254368448187
IN	Perry	529298.72	-1209688.34	13946	37.9534432812276	-86.7408819733257
IN	Pike	368417.71	-835783.62	9582	38.4489365476936	-87.2243393863494
IN	Porter	5481720.29	-11502897.33	132079	41.5033448920722	-87.0910389236745
IN	Posey	744235.24	-1720254.52	19581	38.0080302333895	-87.8532516214698
IN	Pulaski	470041	-992534.26	11453	41.0408626560726	-86.6615087749934
IN	Putnam	1040695.59	-2279585.64	26254	39.6395059800411	-86.8281267616363
IN	Randolph	889370.25	-1882234.87	22145	40.1612214946941	-84.9959300067735
IN	Ripley	1136539.01	-2471042.15	29003	39.1869465227735	-85.1995362548702
IN	Rush	538357.86	-1161676.91	13590	39.6142649006622	-85.4802729948491
IN	Scott	807501.3	-1789835.23	20871	38.6901106798908	-85.757042307508
IN	Shelby	1390627.13	-3016416.53	35170	39.5401515496161	-85.7667480807506
IN	Spencer	653535.3	-1495970.59	17194	38.0094974991276	-87.0053850180296
IN	St Joseph	8986005.39	-18597389.92	215674	41.6647597299628	-86.2291695800143
IN	St. Joseph	75324.11	-155808.66	1807	41.6846209186497	-86.2250470392917
IN	Starke	716210.52	-1503862.99	17353	41.2730087016654	-86.6629971762808
IN	Steuben	1184852.67	-2418314.44	28454	41.6409879103114	-84.9903155971041
IN	Sullivan	618901.62	-1382854.85	15825	39.1091071090047	-87.3841927330174
IN	Switzerland	256078.32	-561454.77	6604	38.7762447001817	-85.0173788612962
IN	Tippecanoe	4802096.3	-10322627.46	118814	40.4169230898716	-86.8805650849227
IN	Tipton	513676.82	-1096610.61	12744	40.3073462021343	-86.0491690207156
IN	Union	254325.71	-544963.29	6418	39.626941414771	-84.9116999065129
IN	Vanderburgh	5418264.78	-12488543.94	142661	37.98	-87.54
IN	Vermillion	504775.55	-1110024.11	12698	39.7523665144117	-87.417239722791
IN	Vigo	2982197.92	-6602716.08	75558	39.4689896503348	-87.3860620979909
IN	Wabash	1109501.73	-2330327.68	27161	40.8490751445087	-85.7968292772726
IN	Warren	199642.11	-432489.75	4954	40.2991744045216	-87.3011203068228
IN	Warrick	1956794.33	-4499379.4	51505	37.9923178332201	-87.3581089214639
IN	Washington	768895.64	-1716195.47	19935	38.5701349385503	-86.089564584901
IN	Wayne	2200508.14	-4692476.18	55242	39.8339694435393	-84.9439951486188
IN	Wells	983037.57	-2053724.42	24107	40.7780964035342	-85.1920363379931
IN	White	931715.06	-1985482.89	22874	40.7324936609251	-86.8008608026581
IN	Whitley	1274378.81	-2646101.62	30961	41.1607767836956	-85.4656380607861
KS	Allen	379349	-954827.28	10011	37.8932174607931	-95.377812406353
KS	Anderson	250822.78	-624719.27	6559	38.2410093001982	-95.2461152614728
KS	Atchison	481089.28	-1157481.81	12163	39.5535048918852	-95.1641708460084
KS	Barber	119247.52	-315946.68	3206	37.1951091703057	-98.5485589519651
KS	Barton	867326.63	-2231792.47	22597	38.3823795194052	-98.7649896003894
KS	Bourbon	383601.62	-960404.34	10140	37.8305345167653	-94.7144319526627
KS	Brown	289665.7	-695521.18	7282	39.7783163965943	-95.5123839604504
KS	Butler	1956753.51	-5032513.18	51882	37.71546027524	-96.9992132146024
KS	Chase	60282.31	-151658.09	1571	38.3719350732018	-96.5360216422661
KS	Chautauqua	77753.4	-201705.1	2095	37.1137947494033	-96.2792840095466
KS	Cherokee	620385.26	-1583662.65	16713	37.1199222162389	-94.7563363848501
KS	Cheyenne	92488.64	-236639.38	2326	39.7629578675838	-101.736620808255
KS	Clark	67153.58	-179788.75	1800	37.3075444444444	-99.8826388888889
KS	Clay	259843.49	-641343.29	6605	39.3404224072672	-97.0996654049962
KS	Cloud	311621.2	-769476.29	7881	39.5408196929324	-97.6368849130821
KS	Coffey	282318.6	-706743.69	7382	38.2441885667841	-95.7387821728529
KS	Comanche	55547.2	-148289.76	1492	37.2300268096515	-99.3899195710456
KS	Cowley	1013572.12	-2644926.45	27267	37.172117211281	-97.0010067114094
KS	Crawford	1031484.12	-2609269.97	27548	37.4431581240017	-94.7172197618702
KS	Decatur	77489.72	-195631.38	1946	39.82	-100.53
KS	Dickinson	662074.24	-1654598.35	17031	38.8746544536434	-97.1521548940168
KS	Doniphan	212108.77	-506674.47	5332	39.780339459865	-95.0252194298575
KS	Douglas	3034680.51	-7420882.13	77922	38.9451054901055	-95.2347492364159
KS	Edwards	83619.69	-219101.61	2205	37.9227619047619	-99.3658095238095
KS	Elk	68234.45	-175511.38	1824	37.4092379385965	-96.2233442982456
KS	Ellis	860804.51	-2199319.19	22143	38.8747915819898	-99.3234516551506
KS	Ellsworth	173895.08	-441292.04	4490	38.729416481069	-98.2833051224944
KS	Finney	1152889.96	-3062580.24	30362	37.9714761873394	-100.868857124037
KS	Ford	970974.31	-2571974.95	25723	37.7473199082533	-99.9873634490534
KS	Franklin	848403.2	-2093675.18	21982	38.595359839869	-95.244981348376
KS	Geary	1312657.78	-3256080.47	33646	39.0137841050942	-96.7746677168163
KS	Gove	68385.3	-175604.5	1750	39.0773142857143	-100.345428571429
KS	Graham	61598.4	-156249.6	1565	39.36	-99.84
KS	Grant	238268.94	-642761.7	6342	37.57	-101.35
KS	Gray	196870.08	-524183.48	5220	37.7145747126437	-100.418291187739
KS	Greeley	42509.35	-112433.75	1105	38.47	-101.75
KS	Greenwood	188678.07	-479730.31	4986	37.8415703971119	-96.215465302848
KS	Hamilton	73757.16	-197598.5	1942	37.98	-101.75
KS	Harper	171992.09	-453178.64	4622	37.2116161834704	-98.0481696235396
KS	Harvey	1132574.66	-2899883.84	29777	38.0352171138798	-97.3867024884978
KS	Haskell	122020.78	-328734.4	3258	37.4526642111725	-100.900675260896
KS	Hodgeman	44744	-117370.75	1175	38.08	-99.89
KS	Jackson	364579.77	-886305.96	9258	39.3799708360337	-95.7340635126377
KS	Jefferson	636638.28	-1548571.24	16233	39.218769173905	-95.3964910983798
KS	Jewell	64342.22	-158957.8	1619	39.7419518221124	-98.1827053736875
KS	Johnson	18274153.43	-44513480.75	469925	38.8873829440868	-94.7246491461404
KS	Kearny	127361.12	-339691.56	3356	37.950274135876	-101.219177592372
KS	Kingman	195717.8	-510560.49	5203	37.6163367288103	-98.1280972515856
KS	Kiowa	66522.18	-175496.19	1769	37.6043979649519	-99.206438665913
KS	Labette	644192.41	-1646807.11	17291	37.2559371927592	-95.2407096177202
KS	Lane	50678.16	-132305.82	1317	38.48	-100.46
KS	Leavenworth	2106114.76	-5094420.27	53656	39.2521760846876	-94.9459570225138
KS	Lincoln	83725.35	-210639.05	2145	39.0327972027972	-98.2000233100233
KS	Linn	275872.68	-683921.68	7214	38.2412919323538	-94.8047795952315
KS	Logan	85281.6	-219853	2180	39.12	-100.85
KS	Lyon	969756.18	-2428130.01	25246	38.4122704586865	-96.1788009981779
KS	Marion	313874.94	-795867.49	8198	38.2867699438888	-97.080689192486
KS	Marshall	298304.49	-724280.52	7499	39.7792358981197	-96.5836138151754
KS	McPherson	839990.3	-2139230.54	21910	38.3382154267458	-97.637176631675
KS	Meade	142351.48	-383135.41	3817	37.2940738800105	-100.376057112916
KS	Miami	849568.21	-2088924.63	22029	38.5658999500658	-94.8261214762359
KS	Mitchell	201877.7	-502084.01	5115	39.4677810361681	-98.1591417399804
KS	Montgomery	1018216.75	-2623131.23	27413	37.1435723926604	-95.6893163827381
KS	Morris	169302.7	-422284.33	4374	38.7066072245085	-96.5441998171011
KS	Morton	101561.18	-279318.39	2743	37.0255851257747	-101.829526066351
KS	Nemaha	308922.67	-744087.4	7755	39.8352894906512	-95.9493745970342
KS	Neosho	482061.05	-1222501.33	12811	37.6286823823277	-95.4259097650457
KS	Ness	57059.8	-148251.6	1484	38.45	-99.9
KS	Norton	147160.58	-368903.22	3694	39.8377314564158	-99.8655170546833
KS	Osage	543352.98	-1343506.13	14039	38.703111332716	-95.6981359071159
KS	Osborne	117578.44	-294387.68	2983	39.4161716392893	-98.68846128059
KS	Ottawa	197644.82	-493899.61	5055	39.0988763600396	-97.7051651829872
KS	Pawnee	166235.72	-431481.4	4354	38.18	-99.1
KS	Phillips	146780.25	-367038.08	3694	39.7347726042231	-99.3606063887385
KS	Pottawatomie	575786.54	-1412506.89	14670	39.2492528970688	-96.2854049079755
KS	Pratt	253354.84	-664551.63	6731	37.64	-98.73
KS	Rawlins	54420.27	-138121.68	1367	39.81	-101.04
KS	Reno	1907850.51	-4910677.21	50149	38.043640152346	-97.921737422481
KS	Republic	131010.26	-321517.79	3291	39.8086478274081	-97.6960771801884
KS	Rice	288047.96	-738181.67	7518	38.3144400106411	-98.1885700984304
KS	Riley	1662656.67	-4098060.6	42420	39.195112446959	-96.6068033946252
KS	Rooks	147295.21	-372032.04	3747	39.3101708033093	-99.2879743795036
KS	Rush	48470.74	-124919.4	1258	38.53	-99.3
KS	Russell	167222.88	-425153.85	4301	38.88	-98.85
KS	Saline	1952569.74	-4913880.91	50341	38.7868683577998	-97.6119050078465
KS	Scott	165113.24	-433062.8	4292	38.47	-100.9
KS	Sedgwick	15030840.01	-38846106.46	399040	37.6675020298717	-97.3489035184442
KS	Seward	691879.12	-1884950.24	18677	37.044446110189	-100.923608716603
KS	Shawnee	5714600.96	-14012253.55	146431	39.0258958827024	-95.6918517936776
KS	Sheridan	63196.1	-161290.58	1606	39.35	-100.43
KS	Sherman	176675.94	-456734.7	4491	39.34	-101.7
KS	Smith	120433.9	-299171.51	3028	39.7734147952444	-98.8016875825628
KS	Stafford	129311.8	-336202.85	3405	37.977033773862	-98.7379882525697
KS	Stanton	65146.38	-176434.5	1734	37.57	-101.75
KS	Stevens	172002.6	-468612.24	4625	37.1897513513514	-101.321565405405
KS	Sumner	646431.19	-1688612.19	17336	37.2883704430088	-97.4049486617443
KS	Thomas	225677.48	-579213.69	5731	39.3783772465538	-101.066775431862
KS	Trego	83580.84	-213921.54	2142	39.02	-99.87
KS	Wabaunsee	209714.26	-517773.78	5383	38.9586215864759	-96.1868437674159
KS	Wallace	34223.2	-89540	880	38.89	-101.75
KS	Washington	149503.28	-364907.29	3760	39.7615106382979	-97.0498111702128
KS	Wichita	65262.08	-171889.6	1696	38.48	-101.35
KS	Wilson	258884.62	-661311.1	6907	37.4814854495439	-95.7450557405531
KS	Woodson	88353.14	-223545.76	2334	37.8548157669237	-95.7779605826907
KS	Wyandotte	4608179.43	-11155386.88	117869	39.0957709830405	-94.6422458831414
KY	Adair	418106	-961336.78	11271	37.0957324106113	-85.2929447254015
KY	Allen	495866.87	-1163705.72	13500	36.7308792592593	-86.2004237037037
KY	Anderson	696899.75	-1555609.25	18325	38.03	-84.89
KY	Ballard	167594.4	-403044.38	4527	37.0210735586481	-89.0312303954054
KY	Barren	1132598.7	-2629588.19	30600	37.0130294117647	-85.9342545751634
KY	Bath	334275.54	-734061.38	8766	38.133189596167	-83.7396052931782
KY	Bell	574603.48	-1311430.06	15667	36.6760375311164	-83.7065207123253
KY	Boone	3940460.96	-8558128.62	101081	38.9832011950812	-84.6660462401441
KY	Bourbon	573358.3	-1264510.84	15008	38.2035114605544	-84.2557862473348
KY	Boyd	1541740.27	-3315003.12	40115	38.4330118409572	-82.6374952012963
KY	Boyle	822845.48	-1853902.92	21865	37.6329970272124	-84.78860827807
KY	Bracken	292230.87	-634428.64	7547	38.7214615078839	-84.0636862329403
KY	Breathitt	316107.41	-701867.59	8419	37.5469069960803	-83.3670970424041
KY	Breckinridge	478497.81	-1093984.16	12663	37.7870812603648	-86.3921787885967
KY	Bullitt	1868005.47	-4211529.74	49167	37.9930740130575	-85.6576512701609
KY	Butler	310567.9	-723432.7	8346	37.2115863886892	-86.6801701413851
KY	Caldwell	373137.4	-883773.32	10054	37.1133280286453	-87.902657648697
KY	Calloway	934485.54	-2253504.37	25521	36.6163371341248	-88.3000027428392
KY	Campbell	2756998.12	-5961660.25	70605	39.0481994193046	-84.4367998017138
KY	Carlisle	146958.5	-354848.82	3988	36.8501755265797	-88.9791424272819
KY	Carroll	354125.4	-779538.4	9159	38.6641991483786	-85.1117370892019
KY	Carter	774901.66	-1679328.88	20225	38.3140499381953	-83.0323302843016
KY	Casey	476795.53	-1083749.19	12767	37.34593326545	-84.8867541317459
KY	Christian	2164807.1	-5148414.98	58842	36.7901685870637	-87.4955810475511
KY	Clark	1078232.18	-2389196.76	28382	37.99	-84.18
KY	Clay	455518.28	-1026592.46	12259	37.1578660575903	-83.7419414307855
KY	Clinton	252904.17	-586801.09	6893	36.69	-85.13
KY	Crittenden	226145.14	-533528.06	6058	37.33	-88.07
KY	Cumberland	166070.06	-385315.04	4514	36.79	-85.36
KY	Daviess	2929727.81	-6760728.8	77634	37.7376898008605	-87.0846381739959
KY	Edmonson	181659.58	-421071.99	4883	37.2024534097891	-86.2322322342822
KY	Elliott	104937.95	-228995.6	2755	38.09	-83.12
KY	Estill	406475.77	-905486.84	10785	37.6889911914696	-83.9579823829393
KY	Fayette	8356437	-18551553.75	219675	38.04	-84.45
KY	Fleming	436310.22	-951327.38	11363	38.3974496171786	-83.7214978438793
KY	Floyd	878566.48	-1934143.97	23377	37.5825161483509	-82.7370479531163
KY	Franklin	1555096.8	-3455499.2	40720	38.19	-84.86
KY	Fulton	199632.55	-486361.6	5465	36.5292863677951	-88.9957182067704
